name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,required,NAok,description,notes,obo
powdery_mildew,numeric,,,,,,no,,,,
stem_rust,numeric,,,,,,no,,,,
leaf_rust,numeric,,,,,,no,,,,
fusarium_scab_spike,numeric,,,,,,no,,,,
helminthosporium_sativum_leaf,numeric,,,,,,no,,,,
septoria_tritici_blotch,numeric,,,,,,no,,,,
septoria_species,numeric,,,,,,no,,,,
blast_severity,numeric,,,,,,no,,,,
blast_intensity,numeric,,,,,,no,,,,
stripe_rust_on_leaf,numeric,,,,,,no,,,,
Pyrenophora_tritici_repentis,numeric,,,,,,no,,"wheat; causes a disease originally named yellow spot but now commonly called tan spot, yellow leaf spot, yellow leaf blotch or helminthosporiosi",,
fusarium_graminearum,numeric,%,,,0,100,no,,,,
,,,,,,,,,,,
,,,,,,,,,,,
